cat,elev,x,y
1,1187,602054.260079,4923404.500438
2,1239,599588.573929,4926835.543578
3,1179,596006.560948,4926367.105852
4,1502,599850.406921,4918680.945593
5,1147,608564.540942,4923103.946207
6,1130,607690.414355,4924433.738959
7,1188,592441.7878,4925183.826419
8,1199,595553.051942,4925275.194015
9,1131,591689.484313,4925925.452702
10,1642,595028.02995,4919018.071671
11,1521,599144.492832,4917556.974296
12,1117,606439.208606,4927552.336264
13,1198,603544.072693,4926209.57675
14,1454,608186.698337,4914634.211749
15,1160,596548.013036,4927185.000344
16,1503,603327.636775,4914320.159122
17,1186,597359.454956,4925124.337782
18,1668,591184.034736,4918174.970908
19,1461,596134.283656,4919891.422091
20,1233,597024.731439,4923812.018542
21,1156,607675.089852,4923800.003254
22,1140,600543.123403,4927185.142202
23,1637,599540.548971,4916165.090498
24,1509,594818.169911,4919747.432047
25,1272,608904.176305,4920766.178295
26,1290,594430.807181,4921345.940256
27,1204,595031.683274,4926630.699278
28,1573,599656.761733,4914339.680435
29,1293,594302.071404,4921497.010438
30,1241,607731.429716,4920027.141622
31,1458,599950.530427,4919129.755165
32,1573,600432.357563,4915271.511551
33,1350,605965.277186,4919463.003451
34,1143,601656.001295,4925725.536568
35,1710,593630.833974,4914262.39896
36,1218,598788.385449,4926309.793835
37,1175,595385.878537,4927763.312599
38,1680,593412.801478,4917026.231875
39,1254,606407.684214,4921955.272241
40,1621,597136.460811,4915998.946291
41,1375,608047.171267,4919499.167633
42,1207,596360.529648,4925004.603134
43,1393,603417.283788,4916223.16306
44,1720,593644.610517,4914970.142933
45,1178,595850.75145,4926258.175753
46,1628,599549.439649,4916382.184274
47,1231,604425.106723,4927284.585307
48,1342,604091.267259,4919622.023852
49,1195,602578.189529,4923040.178284
50,1477,604479.944761,4916082.014287
51,1200,596418.001289,4924865.115517
52,1482,608494.947337,4919324.979458
53,1183,594589.839071,4925866.744158
54,1165,597710.307344,4926536.831206
55,1554,601118.720221,4917084.875254
56,1181,608299.383795,4920523.466929
57,1214,597394.036155,4923840.664038
58,1180,604234.746039,4926673.909805
59,1743,592667.204823,4914852.353619
60,1295,590520.675143,4921744.000595
61,1644,591245.396788,4920601.337288
62,1498,595299.238149,4916478.460284
63,1121,601031.912013,4927719.880695
64,1198,598050.887421,4924613.511345
65,1188,597127.773971,4925408.044555
66,1638,591809.125044,4918042.636216
67,1157,597789.162392,4927047.33376
68,1540,596329.655095,4918901.588175
69,1458,594201.821206,4917678.827014
70,1511,604356.524756,4916736.094298
71,1494,599866.73061,4917954.196865
72,1653,596476.432916,4915307.745155
73,1103,590315.821984,4926747.631291
74,1178,590062.086717,4925818.688
75,1090,590580.53551,4927585.707692
76,1121,601470.983097,4926670.51429
77,1508,600622.876669,4915668.873452
78,1108,607466.435835,4926052.967574
79,1213,607140.726672,4923209.458709
80,1205,597254.890232,4924128.813119
81,1286,600038.155437,4921342.004545
82,1360,608794.275912,4914890.66333
83,1194,600348.087676,4923499.065009
84,1596,601186.319309,4917303.416204
85,1237,591153.893454,4923190.670885
86,1372,600850.450317,4919901.59429
87,1786,591198.752606,4915259.071737
88,1285,599261.390839,4926899.728652
89,1276,590028.062196,4921150.994406
90,1162,594467.601415,4927566.687938
91,1661,599876.239433,4916281.105234
92,1281,592404.53003,4926903.747072
93,1189,603688.805768,4927366.176795
94,1509,594143.904793,4919298.732832
95,1476,597378.28912,4919623.193552
96,1410,607088.033084,4915193.138755
97,1673,591442.81031,4915578.995279
98,1345,606223.762404,4919334.536396
99,1384,594006.239995,4921816.053595
100,1206,597320.806877,4924215.95231
101,1463,604942.925769,4914637.463102
102,1384,606150.757523,4916131.592217
103,1303,606478.140445,4923286.88604
104,1363,607626.252983,4915863.237866
105,1152,605715.625927,4925729.73752
106,1231,607084.800365,4923154.582537
107,1094,590022.438921,4927647.128026
108,1432,598080.981463,4917920.821439
109,1635,591350.296251,4919015.044241
110,1370,596530.77713,4921588.940305
111,1217,594603.681281,4924607.100221
112,1232,597125.029937,4923563.435883
113,1211,592501.119202,4924805.881152
114,1183,607807.389596,4923224.155788
115,1185,602748.874054,4923495.924878
116,1242,601637.492656,4921608.659214
117,1377,595289.453666,4921537.654686
118,1183,595823.478198,4925969.922825
119,1222,605190.398551,4924731.572306
120,1501,590263.796743,4919242.421165
121,1600,597533.585589,4915243.086482
122,1229,608487.88983,4922452.152567
123,1211,607817.927512,4922435.333297
124,,592247.269207,4927883.519315
125,1400,590783.75755,4921552.528283
126,1208,598876.809142,4924048.615325
127,1385,603376.856569,4916234.538681
128,1619,601403.93044,4916325.723998
129,1662,591340.63143,4920490.023481
130,1550,593365.334968,4917642.354573
131,1441,606329.516508,4916969.987872
132,1226,593771.305307,4926079.33634
133,1349,594781.077812,4920951.265218
134,1170,595376.564276,4927292.183278
135,1221,604024.514703,4923862.419843
136,1216,602867.500841,4926124.147337
137,1472,593968.958145,4918911.608132
138,1187,600094.12481,4925955.720834
139,1703,590924.261955,4918929.273909
140,1286,592945.10942,4926757.318968
141,1531,592099.440371,4919311.699757
142,1629,597065.458353,4916621.430683
143,1663,598803.75766,4914417.985495
144,1263,602334.272719,4920546.658269
145,1626,599670.708838,4916457.034461
146,1254,595213.894573,4922853.957335
147,1261,601682.435329,4921400.026622
148,1610,599609.19551,4915894.664885
149,1400,608549.983403,4916982.552821
150,1325,607414.989512,4918014.129357
151,1656,591606.120823,4919701.452599
152,1287,606122.598398,4923910.478984
153,1284,594637.881015,4922694.576596
154,1223,598341.964635,4923920.002167
155,1374,590548.117233,4919705.439954
156,1172,597240.162502,4926065.65269
157,1443,594088.992625,4917483.255415
158,1359,608093.85457,4918523.378147
159,1334,603755.009666,4919594.238053
160,1207,594017.139374,4924749.249892
161,1301,598117.734976,4921219.049252
162,1119,601415.94384,4927418.294853
163,1087,608186.233855,4926516.500889
164,1360,607243.683455,4914950.367706
165,1424,606990.899154,4916479.807895
166,1464,602310.715354,4914324.026361
167,1325,597941.163311,4921062.773763
168,1637,595152.098963,4918754.321232
169,1376,606640.036968,4918080.705156
170,1344,608111.187323,4915361.200851
171,1260,595761.137652,4923331.644521
172,1595,590815.711822,4920763.284813
173,1758,591646.97068,4914093.9369
174,1552,593722.880571,4916676.140845
175,1206,601327.69368,4922316.69937
176,1094,590817.698849,4927679.447473
177,1226,606941.053919,4919008.597951
178,1729,591235.598952,4916134.824489
179,1475,604238.782057,4914410.702045
180,1286,604863.505022,4919004.152537
181,1230,605127.955374,4921989.689265
182,1159,601816.701196,4925011.770447
183,1409,607597.534137,4915522.684243
184,1436,606628.163029,4916789.813373
185,1619,601442.863756,4916420.415064
186,1394,603415.725314,4915349.534502
187,1677,593090.700178,4917537.867758
188,1201,598034.131702,4924526.95952
189,1386,604121.003535,4919359.482276
190,1199,591119.651213,4923259.979617
191,1106,590477.032227,4926588.491101
192,1657,596884.125871,4915191.930262
193,1195,604140.992769,4922037.169398
194,1215,604535.373911,4921102.187885
195,1453,597579.007238,4920351.946946
196,1188,592609.456027,4925278.381395
197,1356,608563.09931,4917394.51932
198,1643,597766.081306,4915374.099232
199,1161,602374.957391,4924036.243507
200,1190,603398.204542,4924460.592963
201,1378,592133.594688,4922254.926836
202,1221,593011.822563,4924168.718149
203,1566,593035.366991,4919882.946781
204,1618,599931.965741,4915384.599259
205,1396,593782.966538,4919878.778034
206,1200,594595.067749,4924878.610698
207,1385,602958.967042,4919564.005961
208,1363,592658.08492,4922044.35818
209,1698,590578.918451,4915357.295704
210,1316,607469.734637,4922009.046801
211,1174,598582.337764,4927212.886493
212,1223,601844.888318,4922010.878868
213,1117,605485.347906,4927557.580024
214,1401,596306.07052,4921484.609378
215,1179,595995.213968,4927488.890713
216,1205,603668.126443,4922030.482089
217,1663,598508.204918,4915735.3298
218,1373,603323.103538,4919516.612143
219,1185,598705.90327,4924874.877908
220,1515,599679.942452,4918820.705632
221,1481,605286.686251,4917505.790272
222,1288,606718.8686,4921200.925064
223,1174,596734.20383,4927729.857289
224,1266,607335.613104,4922630.971591
225,1418,607550.412359,4916371.829309
226,1214,605441.047988,4922756.395644
227,1312,606874.538415,4921907.44658
228,1452,605268.187206,4918172.121603
229,1214,598886.90593,4926112.252613
230,1655,593220.191608,4917058.850123
231,1733,593268.532788,4915581.933315
232,1437,593990.928562,4919344.960861
233,1441,604548.267056,4915268.532444
234,1210,594300.309631,4924875.539696
235,1658,592559.101389,4917722.7844
236,1413,606723.040153,4914877.066281
237,1487,599235.262293,4917375.561645
238,1557,598081.440932,4916258.370905
239,1221,604808.862272,4923283.274596
240,1583,594262.588413,4918172.571921
241,1172,593222.401778,4927489.360887
242,1126,591492.024745,4927199.8197
243,1682,598979.572698,4915676.242071
244,1430,604446.826523,4914861.834052
245,1630,590324.469667,4915008.672276
246,1295,603728.598535,4925369.637996
247,1453,605535.336183,4914970.016386
248,1283,605339.740178,4919847.868705
249,1133,606013.559207,4927536.171862
250,1552,605327.773575,4914341.959183
251,1406,604600.301901,4918399.653717
252,1168,607398.448243,4924447.530941
253,1232,598492.72248,4923237.016816
254,1176,591795.030325,4924840.634297
255,1177,602886.94322,4923555.244342
256,1356,607650.859374,4916155.395303
257,1195,596741.255138,4927902.173777
258,1389,607186.28521,4916441.412676
259,1297,606883.096078,4918707.156298
260,1434,604567.306483,4915346.910519
261,1273,601290.129856,4921163.93091
262,1383,591780.568209,4922246.434164
263,1617,598005.432107,4915411.147374
264,1095,608899.069287,4924312.496126
265,1417,607740.358214,4916797.711258
266,1642,594581.651909,4918186.275492
267,1237,599277.65659,4925813.480779
268,1393,608166.224317,4914932.58033
269,1246,599449.989327,4927299.708279
270,1163,593061.963822,4925550.789
271,1174,596998.873379,4926746.420838
272,1618,590436.277546,4917899.55783
273,1771,591845.707314,4915041.399298
274,1480,600440.956372,4914227.010451
275,1174,601245.67448,4923584.217235
276,1153,606916.369145,4925404.384169
277,1564,605294.167872,4914250.469493
278,1161,601351.270384,4924842.095434
279,1202,606797.245759,4919725.12119
280,1682,599308.591292,4916568.936096
281,1622,597477.182533,4917789.046863
282,1623,599878.264079,4915680.197416
283,1265,606850.343362,4921349.018021
284,1211,605505.218211,4922633.025231
285,1543,599995.743038,4914345.992373
286,1518,600627.265227,4915503.678902
287,1656,591270.005229,4919869.998521
288,1148,601714.744953,4925721.007821
289,1207,599666.105538,4925684.20724
290,1250,592824.515944,4926599.953415
291,1206,599153.964179,4927461.939255
292,1228,595437.584364,4923996.572613
293,1626,590427.822453,4915655.155898
294,1614,599737.73203,4915334.025607
295,,599029.194428,4927973.259608
296,1401,603752.672194,4915863.109529
297,1227,603916.566542,4924598.173297
298,1394,604241.216102,4919344.834106
299,1319,603665.424669,4920096.084698
300,1260,590067.242574,4924575.917612
